abash, to make ashamed, verb 
abate, to put an end to, verb 
abbess, a female superior or governess of a nunnery, noun 
abbey, a monastery or society of people, noun 
abbot, the superior or head of an abbey or monastery, noun 
abbreviate, to make shorter, verb 
abdicate," to surrender, renounce or relinquish", verb 
abdomen, the belly/stomach, noun 
abduct, to take away secretly by force, verb 
abed, in bed, verb 
aberrant, straying from the right or normal way, verb 
abet," to assist or encourage by aid, especially in crime", verb 
abeyance, temporary inactivity, noun 
abhor, to loath, verb 
abide, to wait for, verb 
abject," to cast off or down, to abase", verb 
abjure, to renounce upon oath, verb 
abnegate, to deny (oneself something), verb 
abnormal, not conforming to rule or system, adjective 
abominable," very hateful, detestable", adjective 
abomination, anything greatly disliked or abhorred, noun 
aboriginal, original or indigenous to a place, adjective 
abort," to miscarry, to bring forth something prematurely", verb 
abortive, unsuccessful, adjective 
abound," to be plentiful, to be very prevalent, to overflow", verb 
aboveboard," in open sight, without concealment, or deception", adjective 
abrade, to rub or wear away, verb 
abrasive, rough enough to wear away the outer surface, adjective 
abridge, to shorten in duration, verb 
abrogate, to abolish by authoritative action, verb 
abscess, to form such a collection of pus, verb 
abscission, the act of cutting off, noun 
abscond, to depart secretly, verb 
absence, a state of being absent, noun 
absolute," free from imperfection, complete", adjective 
absolve, to set free from an obligation, verb 
abstain, refrain from (something), verb 
abstemious, restraint especially in the consumption of food or alcohol, adjective 
abstinence, voluntary forbearance esp. from indulgence of an appetite, noun 
abstract," to separate, to remove, to take away", verb 
abstruse, difficult to comprehend, adjective 
abundant," fully sufficient, in great quantity", adjective 
abusive, treating badly or injuriously, adjective 
abut," to touch by means of a mutual border, to meet", verb 
abysmal," extremely hopeless, bad, or severe", adjective 
abyss, an immeasurably deep gulf or great space, noun 
accede," (obsolete) to approach, to arrive, to come forward", verb 
accentuate, to pronounce with an accent or vocal stress, verb 
access, to gain or obtain access to, verb 
accession, to make a record of (additions to a collection), verb 
accessory," aiding in a secondary way, being additional,", adjective 
acclaim, applaud, verb 
acclimate, to habituate to a climate not native, verb 
acclivity," a slope or inclination of the earth, as the side of a hill", noun 
